Time,Source,Destination,Protocol,Length,Info
10.753333,10.218.72.130,104.31.11.172,TCP,54,"[TCP Retransmission] 13155  >  80 [FIN, ACK] Seq=1 Ack=1 Win=66 Len=0"
10.766689,54.192.35.107,10.218.72.130,TCP,1514,[TCP Out-Of-Order] 443  >  13181 [ACK] Seq=1 Ack=206 Win=30464 Len=1460
10.766746000000001,10.218.72.130,54.192.35.107,TCP,66,13181  >  443 [ACK] Seq=206 Ack=1461 Win=17408 Len=0 SLE=4381 SRE=5473
10.869887,54.192.35.107,10.218.72.130,TCP,1514,[TCP Retransmission] 443  >  13181 [ACK] Seq=1461 Ack=206 Win=30464 Len=1460
10.869896,54.192.35.107,10.218.72.130,TCP,1514,[TCP Retransmission] 443  >  13181 [ACK] Seq=2921 Ack=206 Win=30464 Len=1460
10.870047,10.218.72.130,54.192.35.107,TCP,66,13181  >  443 [ACK] Seq=206 Ack=2921 Win=17408 Len=0 SLE=4381 SRE=5473
10.870302,10.218.72.130,54.192.35.107,TCP,54,13181  >  443 [ACK] Seq=206 Ack=5473 Win=17408 Len=0
10.936164999999999,10.218.72.130,52.8.44.206,TCP,54,13176  >  443 [ACK] Seq=369 Ack=5913 Win=17408 Len=0
11.018305999999999,10.218.72.130,54.192.35.107,TCP,54,13181  >  443 [ACK] Seq=332 Ack=5715 Win=17152 Len=0
11.414891,10.218.72.130,216.58.204.37,TCP,66,13184  >  443 [SYN] Seq=0 Win=17520 Len=0 MSS=1460 WS=256 SACK_PERM=1
11.510489,216.58.204.37,10.218.72.130,TCP,66,"443  >  13184 [SYN, ACK] Seq=0 Ack=1 Win=42780 Len=0 MSS=1380 SACK_PERM=1 WS=256"
11.510631,10.218.72.130,216.58.204.37,TCP,54,13184  >  443 [ACK] Seq=1 Ack=1 Win=17408 Len=0
11.606359,216.58.204.37,10.218.72.130,TCP,54,443  >  13184 [ACK] Seq=1 Ack=204 Win=44032 Len=0
11.614458,10.218.72.130,216.58.204.37,TCP,54,13184  >  443 [ACK] Seq=204 Ack=2586 Win=17408 Len=0
11.713964,10.218.72.130,216.58.204.37,TCP,54,13184  >  443 [ACK] Seq=1324 Ack=2976 Win=16896 Len=0
11.761871000000001,10.218.72.130,216.58.204.37,TCP,54,13184  >  443 [ACK] Seq=1362 Ack=3014 Win=16896 Len=0
11.762449,216.58.204.37,10.218.72.130,TCP,54,443  >  13184 [ACK] Seq=3014 Ack=1324 Win=46592 Len=0
11.810477,216.58.204.37,10.218.72.130,TCP,54,443  >  13184 [ACK] Seq=3014 Ack=1362 Win=46592 Len=0
11.953174,10.218.72.130,104.31.11.172,TCP,54,"[TCP Retransmission] 13155  >  80 [FIN, ACK] Seq=1 Ack=1 Win=66 Len=0"
12.403761,10.218.72.130,216.58.204.37,TCP,54,13184  >  443 [ACK] Seq=1362 Ack=6210 Win=17408 Len=0
12.502611,216.58.204.37,10.218.72.130,TCP,54,443  >  13184 [ACK] Seq=6210 Ack=1408 Win=46592 Len=0
12.519162,216.58.204.37,10.218.72.130,TCP,54,443  >  13184 [ACK] Seq=6210 Ack=1925 Win=48128 Len=0
13.083845,10.218.72.130,107.22.189.119,TCP,55,[TCP Keep-Alive] 13174  >  443 [ACK] Seq=1 Ack=1 Win=65 Len=1
13.220417999999999,104.31.10.172,10.218.72.130,TCP,54,80  >  13175 [ACK] Seq=535 Ack=759 Win=31744 Len=0
13.248142999999999,10.218.72.130,54.192.35.107,TCP,54,"13180  >  443 [FIN, ACK] Seq=687 Ack=5715 Win=16128 Len=0"
13.248687,10.218.72.130,54.192.35.107,TCP,66,13185  >  443 [SYN] Seq=0 Win=17520 Len=0 MSS=1460 WS=256 SACK_PERM=1
13.262476000000001,107.22.189.119,10.218.72.130,TCP,66,[TCP Keep-Alive ACK] 443  >  13174 [ACK] Seq=1 Ack=2 Win=133 Len=0 SLE=1 SRE=2
13.277327,10.218.72.130,54.192.35.107,TCP,54,"13177  >  443 [FIN, ACK] Seq=683 Ack=5715 Win=17152 Len=0"
13.277871,10.218.72.130,54.192.35.107,TCP,66,13186  >  443 [SYN] Seq=0 Win=17520 Len=0 MSS=1460 WS=256 SACK_PERM=1
13.284148000000002,10.218.72.130,54.192.35.107,TCP,54,"13178  >  443 [FIN, ACK] Seq=690 Ack=5715 Win=17152 Len=0"
13.284870999999999,10.218.72.130,54.192.35.107,TCP,66,13187  >  443 [SYN] Seq=0 Win=17520 Len=0 MSS=1460 WS=256 SACK_PERM=1
